         5262144 function calls (5254790 primitive calls) in 3.039 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3461    0.017    0.000    0.017    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\langchain_text_splitters\character.py:55(<listcomp>)
      392    0.000    0.000    0.016    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\util.py:8(u)
    36544    0.016    0.000    0.016    0.000 {method 'join' of 'str' objects}
    17932    0.011    0.000    0.015    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:608(_format_parsed_parts)
    41434    0.014    0.000    0.014    0.000 {method 'strip' of 'str' objects}
      392    0.013    0.000    0.013    0.000 {method 'read' of '_io.BufferedReader' objects}
      418    0.001    0.000    0.013    0.000 {built-in method builtins.any}
      196    0.000    0.000    0.012    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:54(construct_document)
     9141    0.007    0.000    0.012    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
     2081    0.002    0.000    0.011    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:193(<genexpr>)
    59953    0.010    0.000    0.011    0.000 {built-in method builtins.isinstance}
      392    0.000    0.000    0.010    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:410(construct_yaml_map)
      196    0.001    0.000    0.010    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:215(construct_mapping)
     8032    0.005    0.000    0.010    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:269(escape)
    37346    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFD4E443920}
      210    0.000    0.000    0.009    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1037(rglob)
     2081    0.001    0.000    0.009    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\_collections_abc.py:1034(__iter__)
      196    0.001    0.000    0.009    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:132(construct_mapping)
      210    0.000    0.000    0.008    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:487(_select_from)
    17530    0.008    0.000    0.008    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:14(__init__)
     1320    0.003    0.000    0.008    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:67(construct_object)
     2081    0.003    0.000    0.007    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:525(__getitem__)
    35256    0.006    0.000    0.006    0.000 {method 'lstrip' of 'str' objects}
    35257    0.005    0.000    0.005    0.000 {method 'reverse' of 'list' objects}
      196    0.004    0.000    0.004    0.000 {built-in method _codecs.utf_8_decode}
     8032    0.004    0.000    0.004    0.000 {method 'translate' of 'str' objects}
      219    0.001    0.000    0.003    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:438(_select_from)
     1320    0.002    0.000    0.003    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\resolver.py:143(resolve)
      196    0.000    0.000    0.003    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\codecs.py:750(__exit__)
      196    0.003    0.000    0.003    0.000 {method 'close' of '_io.BufferedReader' objects}
      196    0.000    0.000    0.003    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\default_handlers.py:209(split)
      196    0.002    0.000    0.003    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\cyaml.py:25(__init__)
       20    0.002    0.000    0.002    0.000 {built-in method nt.scandir}
      200    0.001    0.000    0.002    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:322(construct_yaml_timestamp)
      418    0.001    0.000    0.002    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:668(__hash__)
       19    0.000    0.000    0.002    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:783(compile)
     8835    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      924    0.000    0.000    0.002    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:402(construct_yaml_str)
    29/11    0.001    0.000    0.002    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:468(_iterate_directories)
     1124    0.001    0.000    0.002    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:173(construct_scalar)
     2473    0.001    0.000    0.002    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:710(name)
     3953    0.001    0.000    0.002    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:519(__len__)
      996    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      209    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:654(_cparts)
       19    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:944(parse)
      196    0.001    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\pathlib.py:745(stem)
      196    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\__init__.py:30(detect_format)
    30/19    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:436(_parse_sub)
    30/19    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:494(_parse)
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1467(info)
      196    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\codecs.py:681(__init__)
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1600(_log)
      196    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\frontmatter\default_handlers.py:196(detect)
       19    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:622(_code)
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1626(handle)
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1680(callHandlers)
      196    0.001    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\yaml\constructor.py:180(flatten_mapping)
        6    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:955(handle)
      562    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\abc.py:117(__instancecheck__)
        6    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1088(emit)
      418    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\backend\obsidian_loader_v2.py:197(<genexpr>)
