         44897 function calls (42377 primitive calls) in 0.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_synchronization.py:128(set)
        1    0.000    0.000    0.006    0.006 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_synchronization.py:117(setup)
        2    0.000    0.000    0.006    0.003 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_core\_synchronization.py:81(__new__)
     52/1    0.000    0.000    0.006    0.006 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_models.py:203(construct)
        1    0.000    0.000    0.006    0.006 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\importlib\__init__.py:108(import_module)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:1038(_gcd_import)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:1022(_find_and_load)
    156/4    0.000    0.000    0.006    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_models.py:382(_construct_field)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       10    0.000    0.000    0.006    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\connection.py:69(handle_async_request)
        1    0.000    0.000    0.006    0.006 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_models.py:540(<listcomp>)
      109    0.000    0.000    0.005    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\streams\tls.py:150(_call_sslobject_method)
      760    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      190    0.000    0.000    0.005    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_core\_tasks.py:95(fail_after)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
      3/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      378    0.000    0.000    0.004    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\contextlib.py:130(__enter__)
        6    0.000    0.000    0.004    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\connection.py:105(_connect)
      181    0.001    0.000    0.004    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\h11\_connection.py:426(next_event)
       10    0.000    0.000    0.004    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1467(info)
       10    0.000    0.000    0.003    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1600(_log)
        4    0.000    0.000    0.003    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_backends\anyio.py:55(start_tls)
        4    0.000    0.000    0.003    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\streams\tls.py:79(wrap)
6662/6420    0.001    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.003    0.003 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_transform.py:76(maybe_transform)
        1    0.000    0.000    0.003    0.003 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_transform.py:90(transform)
    110/1    0.000    0.000    0.003    0.003 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_transform.py:152(_transform_recursive)
        1    0.000    0.000    0.003    0.003 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_transform.py:257(_transform_typeddict)
        2    0.000    0.000    0.003    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\ssl.py:973(do_handshake)
        2    0.003    0.001    0.003    0.001 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       10    0.000    0.000    0.003    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1626(handle)
        1    0.003    0.003    0.003    0.003 {built-in method numpy.array}
       10    0.000    0.000    0.003    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1680(callHandlers)
       20    0.000    0.000    0.003    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:955(handle)
        2    0.003    0.001    0.003    0.001 {built-in method _pickle.dump}
        1    0.000    0.000    0.003    0.003 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\resources\embeddings.py:224(parser)
       20    0.000    0.000    0.003    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1088(emit)
      8/2    0.001    0.000    0.003    0.001 {built-in method builtins.exec}
        1    0.000    0.000    0.003    0.003 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_backends\_asyncio.py:1(<module>)
       88    0.000    0.000    0.003    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_decoders.py:95(decode)
       88    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      100    0.002    0.000    0.002    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      101    0.000    0.000    0.002    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\streams\tls.py:218(receive)
        5    0.000    0.000    0.002    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\http11.py:65(handle_async_request)
        2    0.000    0.000    0.002    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_transform.py:203(<listcomp>)
      181    0.000    0.000    0.002    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\h11\_connection.py:398(_extract_next_receive_event)
      379    0.000    0.000    0.002    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\contextlib.py:139(__exit__)
      104    0.000    0.000    0.002    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_backends\_asyncio.py:415(__enter__)
       20    0.001    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:921(_find_spec)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1399(_get_spec)
       11    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:1175(wrap)
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:882(_process_class)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
      498    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
      101    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\ssl.py:908(read)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:1101(extract_cookies)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      524    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\pydantic\v1\typing.py:120(get_origin)
      101    0.001    0.000    0.001    0.000 {method 'read' of '_ssl._SSLSocket' objects}
  179/178    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\h11\_readers.py:157(__call__)
     1103    0.001    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:1902(get_origin)
      104    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_backends\_asyncio.py:446(__exit__)
       93    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\h11\_connection.py:260(_process_event)
      104    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_backends\_asyncio.py:544(_timeout)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_base_client.py:476(_build_request)
        2    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\http11.py:170(_receive_response_headers)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\threading.py:916(start)
      120    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:993(__instancecheck__)
       30    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      207    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\pydantic\v1\typing.py:173(get_args)
       12    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\proactor_events.py:272(_loop_reading)
      120    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:1154(__subclasscheck__)
       50    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\base64.py:65(b64decode)
  124/122    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:306(inner)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\threading.py:589(wait)
        3    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
       13    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
  493/231    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\abc.py:121(__subclasscheck__)
       96    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:724(call_at)
       52    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\typing_extensions.py:637(__instancecheck__)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\faiss\swigfaiss_avx2.py:10805(write_index)
       58    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\openai\_utils\_utils.py:156(is_mapping)
